WellNo,County,CoName,Hole,SideTrck,Completion,Well_Typ,Field,Wl_Status,Well_Nm,town,Prod Form
807,Cortland,New York Natural Gas Co.,00644,00,00,Oil,Rushford,UN,Butler Ralph A 1,Homer,Not Applicable
0,Allegany,"Gilbert, Edward L.",16553,00,00,Oil,Not applicable,AC,Wilson Gilbert & Wf g-1,Rushford,Marcellus
0,Allegany,"Saint John Exploration & Production, Inc.",63930,00,00,OD,Richburg,IN,Trio Farm 112,Bolivar,Richburg
0,Cattaraugus,"Putt, Floyd J.",64599,00,00,OD,Chipmunk,PA,Floyd Putt 2,Allegany,Bradford Second
0,Chautauqua,"Empire Energy E & P, LLC",11876,00,00,GW,Big Inlet Pool,PA,Hall 400,Chautauqua,Medina
0,Erie,"Masterson, Michael",60550,00,00,Oil,East Aurora,AC,Stover 1,Aurora,Medina
0,Chautauqua,Unknown,67706,00,00,NL,Not Applicable,UM,JRJ Enterprises 4,Carroll,Not Applicable
0,Cattaraugus,"Empire Energy E & P, LLC",17275,00,00,Oil,Lakeshore,AC,"Shetler, N 1",Conewango,Medina
0,Oswego,Sandy Creek Oil & Gas,02488,00,00,Oil,Sandy Creek,UL,Hollis 8,Sandy Creek,Trenton
0,Allegany,"Stengel, J.C.",04745,00,00,OD,Nile,UN,Hills Estate W4,Friendship,Waugh & Porter
0,Erie,Seneca Resources Corporation,23489,00,00,GW,Not Applicable,PA,McCarthy 37546,Collins,Upper Devonian Shale
0,Chautauqua,"Stedman Energy, Inc.",23393,00,00,Oil,Lakeshore,AC,Weise 3,Chautauqua,Medina
0,Chautauqua,"Republic Light, Heat & Power",02857,00,00,Oil,Lakeshore,UN,Werle Frank,Sheridan,Medina
0,Chautauqua,"Empire Energy E & P, LLC",14883,00,00,Oil,Lakeshore,AC,Winslow 608,Westfield,Medina
0,Genesee,Page,03102,00,00,Oil,Alden-Lancaster,UM,"Stiles, J. F. 1",Darien,Medina
0,Yates,Unknown,00550,00,00,SG,Not Applicable,UM,ISCO 1,Milo,Not Applicable
0,Allegany,PPP Future Development Inc.,21997,00,00,GW,Richburg,IN,"Friar, J 1",Genesee,Onondaga
0,Chautauqua,"Cotton Well Drilling Company, Inc.",22103,00,00,Oil,Lakeshore,AC,Magavern 2,Westfield,Medina
0,Cattaraugus,"Stephan, Philip D.",63639,00,00,OD,Bradford,IN,Pfeiffer 18,Allegany,Bradford
0,Oswego,Sandy Creek Oil & Gas,02470,00,00,Oil,Sandy Creek,UN,Frasier 2,Sandy Creek,Trenton
0,Seneca,Minard Run Oil Company,21321,00,00,Oil,Fayette-Waterloo,AC,Larsen 1205,Fayette,Queenston
0,Cattaraugus,Belden & Blake Corporation,10867,00,00,GE,Lakeshore,PA,"McCracken, Harvey 1",Otto,Medina
0,Cattaraugus,"McCracken Oil & Gas, LLC",55146,00,00,OD,Bradford,PA,McCray 47,Carrollton,Bradford
0,Cattaraugus,"Empire Energy E & P, LLC",18486,00,00,Oil,Lakeshore,AC,D Dankert 1,Otto,Medina
